IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
31,2024-05-10,2,2,Tablet,2,299.68,599.36
32,2024-05-10,2,3,Cámara,2,1254.7900000000002,2509.58
33,2024-05-10,4,7,Microondas,3,1329.55,3988.65
34,2024-05-10,3,1,Impresora,4,981.04,3924.16
35,2024-05-10,1,4,Televisor,4,946.34,3785.36
36,2024-05-10,2,7,Consola,3,1393.03,4179.09
37,2024-05-10,3,2,Refrigerador,2,1598.0300000000002,3196.06
38,2024-05-10,2,7,Laptop,3,1738.83,5216.49
39,2024-05-10,4,7,Lavadora,3,1637.69,4913.07
40,2024-05-10,1,2,Teléfono,2,764.09,1528.18
